Epoch 1/10|cross_entropy Loss: 2.3597
Epoch 2/10|cross_entropy Loss: 2.1186
Epoch 3/10|cross_entropy Loss: 1.9495
Epoch 4/10|cross_entropy Loss: 1.8104
Epoch 5/10|cross_entropy Loss: 1.6771
Epoch 6/10|cross_entropy Loss: 1.5473
Epoch 7/10|cross_entropy Loss: 1.4262
Epoch 8/10|cross_entropy Loss: 1.3174
Epoch 9/10|cross_entropy Loss: 1.2218
Epoch 10/10|cross_entropy Loss: 1.1378
